Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Friesland,ICT,>20 year,45-55,NL,1,8b99ad63
Noord-Holland,Projectmanagement,3-10 year,<25,NL,1,c14e7299
Drenthe,Strategy & Innovation,10-20 year,<25,NL,1,945bd8b3
Limburg,Procurement,10-20 year,35-45,NL,1,e03a7b00
Utrecht,Marketing,3-10 year,55+,NL,1,736ed3cc
Zuid-Holland,Quality & Safety,>20 year,<25,NL,1,d534ed0d
Gelderland,Operations,>20 year,<25,NL,1,a18e7c0a
Zeeland,ICT,>20 year,55+,NL,1,46830827
Zuid-Holland,Operations,10-20 year,55+,NL,1,7e4378c3
Zeeland,ICT,>20 year,35-45,NL,1,4dea5a27
Zeeland,HR,3-10 year,<25,NL,1,acb1df97
Limburg,Projectmanagement,3-10 year,35-45,NL,1,81885351
Utrecht,Communication,10-20 year,<25,NL,1,d147b4e3
Gelderland,Sales,<3 year,<25,NL,1,0e5360c3
Friesland,Projectmanagement,<3 year,<25,NL,1,c1064a29
Drenthe,Research & Development,3-10 year,35-45,NL,1,8f80dfdd
Friesland,Sales,3-10 year,25-35,NL,1,6ca90597
Gelderland,Marketing,3-10 year,55+,NL,1,66a73fe8
Drenthe,Communication,3-10 year,35-45,NL,1,6143d48d
Utrecht,Operations,3-10 year,25-35,NL,1,b25e2e49
Zeeland,Sales,10-20 year,55+,NL,1,213ed1fc
Zuid-Holland,Operations,<3 year,35-45,NL,1,9fe0855d
Noord-Holland,Data & Analytics,<3 year,25-35,NL,1,f6480600
Limburg,Projectmanagement,<3 year,35-45,NL,1,ce51dca7
Zeeland,ICT,10-20 year,35-45,NL,1,9acefc13
Utrecht,HR,10-20 year,<25,NL,1,a3e99964
Friesland,HR,3-10 year,45-55,NL,1,b0f40edd
Friesland,Research & Development,<3 year,55+,NL,1,e715f691
Utrecht,Klantenservice,10-20 year,55+,NL,1,1f9a84ff
Drenthe,Sales,>20 year,55+,NL,1,65e449f3
Flevoland,Communication,<3 year,55+,NL,1,d1ce0b7e
Zeeland,Finance,10-20 year,55+,NL,1,6d5f8d0f
Noord-Holland,Communication,<3 year,<25,NL,1,588d363a
Zeeland,Marketing,10-20 year,25-35,NL,1,255d34a1
Flevoland,HR,3-10 year,55+,NL,1,55408558
Drenthe,Procurement,10-20 year,25-35,NL,1,c6264d7b
Drenthe,Klantenservice,<3 year,45-55,NL,1,c67f747f
Limburg,Klantenservice,<3 year,35-45,NL,1,9874111c
Flevoland,Sales,<3 year,45-55,NL,1,6a0ef5ff
Utrecht,Projectmanagement,>20 year,25-35,NL,1,3a54c43e
Drenthe,Maintenance & Management,>20 year,25-35,NL,1,dd684ff1
Zuid-Holland,Operations,10-20 year,25-35,NL,1,e803489b
Overijssel,Maintenance & Management,<3 year,55+,NL,1,e22781d4
Zeeland,Procurement,3-10 year,45-55,NL,1,e13b2d2a
Overijssel,Research & Development,<3 year,45-55,NL,1,60dd6dfb
Utrecht,Procurement,<3 year,45-55,NL,1,6659b9c4
Zeeland,Projectmanagement,<3 year,45-55,NL,1,a68af415
Utrecht,Data & Analytics,10-20 year,25-35,NL,1,9054bbf6
Limburg,Marketing,<3 year,<25,NL,1,ad217191
Utrecht,Research & Development,<3 year,25-35,NL,1,ef94a9ba
Zuid-Holland,Supply Chain,<3 year,55+,NL,1,275e8eeb
Zeeland,Supply Chain,10-20 year,35-45,NL,1,b25a32f8
Overijssel,Finance,>20 year,35-45,NL,1,4d51d98b
Noord-Holland,Marketing,>20 year,45-55,NL,1,b28e274f
Utrecht,Research & Development,>20 year,55+,NL,1,4e02989b
Friesland,ICT,<3 year,45-55,NL,1,e05fe96b
Limburg,Marketing,10-20 year,45-55,NL,1,4a14419d
Zeeland,HR,<3 year,45-55,NL,1,4859874f
Utrecht,Research & Development,3-10 year,35-45,NL,1,b57299af
Zeeland,Sustainability,<3 year,45-55,NL,1,ff636585
Drenthe,Communication,<3 year,45-55,NL,1,f35e06bc
Flevoland,Finance,3-10 year,<25,NL,1,122b892a
Drenthe,Procurement,3-10 year,35-45,NL,1,70818a32
Noord-Holland,Sales,<3 year,55+,NL,1,52be67f0
Zeeland,Quality & Safety,3-10 year,35-45,NL,1,8d8be801
Zeeland,Data & Analytics,3-10 year,35-45,NL,1,cdaddd2e
Flevoland,ICT,>20 year,55+,NL,1,9c3f4471
Friesland,Sales,3-10 year,45-55,NL,1,609d04e7
Zeeland,Data & Analytics,10-20 year,25-35,NL,1,f4c8cdab
Overijssel,Operations,10-20 year,45-55,NL,1,a809f431
Noord-Holland,Supply Chain,>20 year,55+,NL,1,d5c3c523
Drenthe,ICT,10-20 year,35-45,NL,1,a1a223c7
Drenthe,Marketing,<3 year,<25,NL,1,e2e69dab
Noord-Holland,HR,3-10 year,25-35,NL,1,962b02fc
Zeeland,Procurement,<3 year,45-55,NL,1,6b295c23
Friesland,Strategy & Innovation,10-20 year,45-55,NL,1,c3635dd5
Zuid-Holland,ICT,10-20 year,45-55,NL,1,633752b4
Utrecht,Finance,>20 year,25-35,NL,1,638035a6
Drenthe,Strategy & Innovation,10-20 year,35-45,NL,1,e0e072ef
Overijssel,Projectmanagement,<3 year,35-45,NL,1,210e2fa7
Gelderland,Operations,3-10 year,25-35,NL,1,621c8b1f
Gelderland,Sales,10-20 year,25-35,NL,1,9c1f0691
Zeeland,Maintenance & Management,>20 year,45-55,NL,1,27794aa6
Flevoland,Marketing,10-20 year,25-35,NL,1,9f5b6eac
Zuid-Holland,Research & Development,>20 year,<25,NL,1,6.67E+82
Limburg,Data & Analytics,>20 year,45-55,NL,1,e94d3e1b
Drenthe,Supply Chain,<3 year,45-55,NL,1,0e75620b
Drenthe,Quality & Safety,<3 year,<25,NL,1,bc8e4128
Utrecht,Projectmanagement,>20 year,<25,NL,1,71ab2fe4
Gelderland,Strategy & Innovation,<3 year,25-35,NL,1,dc02bea7
Friesland,Marketing,>20 year,25-35,NL,1,3405aba9
Friesland,Research & Development,<3 year,45-55,NL,1,4cba4532
Friesland,Data & Analytics,10-20 year,35-45,NL,1,8b5489b3
Flevoland,Projectmanagement,<3 year,<25,NL,1,a20121c0
Flevoland,HR,10-20 year,25-35,NL,1,4152a660
Flevoland,Sustainability,<3 year,<25,NL,1,babb303a
Limburg,Quality & Safety,10-20 year,<25,NL,1,594ea550
Overijssel,Klantenservice,10-20 year,25-35,NL,1,cf10efcd
Flevoland,Sustainability,>20 year,55+,NL,1,7d3b6dd1
Friesland,HR,>20 year,55+,NL,1,aabcd03d
Zeeland,ICT,>20 year,45-55,NL,1,18f71ecd
Drenthe,Sustainability,>20 year,55+,NL,1,b0013f06
Drenthe,HR,<3 year,55+,NL,1,2596eae2
Overijssel,Research & Development,<3 year,55+,NL,1,f0204360
Limburg,Sales,>20 year,<25,NL,1,048eaa6a
Flevoland,Maintenance & Management,10-20 year,25-35,NL,1,2cb85aea
Drenthe,Quality & Safety,<3 year,45-55,NL,1,91d8ae65
Utrecht,Sales,10-20 year,45-55,NL,1,6a21d516
Noord-Holland,ICT,>20 year,<25,NL,1,4a2a32ef
Utrecht,Supply Chain,3-10 year,55+,NL,1,63255144
Zeeland,Quality & Safety,>20 year,25-35,NL,1,bc3a342f
Zuid-Holland,Operations,10-20 year,45-55,NL,1,2d814ba3
Drenthe,Finance,>20 year,35-45,NL,1,9c3c0332
Zuid-Holland,Communication,>20 year,35-45,NL,1,77fdde7a
Noord-Holland,HR,<3 year,25-35,NL,1,6.57E+11
Friesland,Sales,<3 year,<25,NL,1,9bddb0cd
Limburg,Supply Chain,3-10 year,55+,NL,1,98c7d4f6
Noord-Holland,Sustainability,3-10 year,35-45,NL,1,65a5b9a0
Overijssel,Finance,<3 year,55+,NL,1,e700a48c
Flevoland,Projectmanagement,3-10 year,55+,NL,1,75b9fcfa
Utrecht,Maintenance & Management,<3 year,35-45,NL,1,0743d1ac
Noord-Holland,Communication,>20 year,45-55,NL,1,e21c7e1a
Gelderland,Strategy & Innovation,3-10 year,55+,NL,1,3c5704a6
Zeeland,Communication,3-10 year,55+,NL,1,c0170aa0
Friesland,ICT,3-10 year,35-45,NL,1,aaf7a53c
Drenthe,Sales,>20 year,25-35,NL,1,991d51f4
Overijssel,ICT,>20 year,35-45,NL,1,2f2e86af
Limburg,Supply Chain,3-10 year,25-35,NL,1,35c05696
Gelderland,Klantenservice,3-10 year,25-35,NL,1,67c87b59
Limburg,Quality & Safety,>20 year,45-55,NL,1,4711ccf0
Friesland,Communication,<3 year,55+,NL,1,636369f2
Friesland,HR,<3 year,25-35,NL,1,759fd433
Zuid-Holland,Strategy & Innovation,10-20 year,55+,NL,1,193a152e
Flevoland,Klantenservice,<3 year,45-55,NL,1,da1d6959
Flevoland,Sustainability,3-10 year,45-55,NL,1,ca6551cd
Flevoland,Communication,3-10 year,<25,NL,1,1d13fa01
Flevoland,Data & Analytics,<3 year,<25,NL,1,b19a3b91
Limburg,Marketing,<3 year,25-35,NL,1,beb2185e
Flevoland,Supply Chain,<3 year,25-35,NL,1,b5127228
Overijssel,ICT,>20 year,25-35,NL,1,32845f0d
Drenthe,Marketing,3-10 year,35-45,NL,1,33e6d1ba
Noord-Holland,Sustainability,10-20 year,55+,NL,1,ba64f97e
Utrecht,Marketing,<3 year,<25,NL,1,3bcdfdb1
Utrecht,Projectmanagement,3-10 year,35-45,NL,1,668f6e09
Flevoland,Operations,10-20 year,<25,NL,1,59464dd0
Friesland,Operations,3-10 year,<25,NL,1,fd7b4d06
Gelderland,ICT,>20 year,35-45,NL,1,e8fb43ca
Noord-Holland,Sales,<3 year,35-45,NL,1,a45fd73e
Zuid-Holland,Communication,10-20 year,45-55,NL,1,4c3b205a
Zeeland,Klantenservice,>20 year,55+,NL,1,5dee513e
Gelderland,Marketing,<3 year,35-45,NL,1,d9d81b91
Flevoland,Procurement,<3 year,45-55,NL,1,c6a2d4b7
Noord-Holland,Operations,<3 year,45-55,NL,1,69390dff
Limburg,Klantenservice,>20 year,45-55,NL,1,34b0db1b
Drenthe,Research & Development,3-10 year,<25,NL,1,3b10fff5
Friesland,Maintenance & Management,<3 year,55+,NL,1,f7c46dd0
Overijssel,Sales,10-20 year,45-55,NL,1,e52a19c4
Zeeland,Communication,>20 year,25-35,NL,1,b0177146
Zeeland,Quality & Safety,10-20 year,55+,NL,1,3265f21d
Drenthe,Supply Chain,3-10 year,55+,NL,1,e10f16e0
Utrecht,Projectmanagement,3-10 year,45-55,NL,1,7286e498
Utrecht,Data & Analytics,<3 year,25-35,NL,1,2cf7a1e5
Overijssel,Supply Chain,10-20 year,25-35,NL,1,8957bddc
Flevoland,Marketing,3-10 year,25-35,NL,1,6309de76
Utrecht,Marketing,10-20 year,25-35,NL,1,e5401574
Zuid-Holland,Maintenance & Management,>20 year,45-55,NL,1,765315c9
Gelderland,Projectmanagement,>20 year,<25,NL,1,a1423f31
Flevoland,Strategy & Innovation,>20 year,<25,NL,1,144bdb75
Gelderland,Maintenance & Management,<3 year,35-45,NL,1,340935aa
Zuid-Holland,Finance,<3 year,<25,NL,1,b9f83f33
Utrecht,ICT,10-20 year,55+,NL,1,85ec9469
Noord-Holland,Quality & Safety,<3 year,55+,NL,1,135a132d
Utrecht,Data & Analytics,10-20 year,35-45,NL,1,1062223e
Zeeland,Projectmanagement,>20 year,35-45,NL,1,50ec289d
Noord-Holland,ICT,3-10 year,25-35,NL,1,238a7ae3
Overijssel,Data & Analytics,>20 year,25-35,NL,1,9cc140cb
Gelderland,Research & Development,10-20 year,<25,NL,1,e236a3fe
Limburg,Supply Chain,3-10 year,<25,NL,1,bc87219d
Friesland,Data & Analytics,3-10 year,35-45,NL,1,203cdb7a
Zuid-Holland,Communication,<3 year,45-55,NL,1,7cf77927
Zeeland,Research & Development,<3 year,45-55,NL,1,9a16ad53
Friesland,Finance,>20 year,35-45,NL,1,956b3307
Drenthe,Operations,<3 year,55+,NL,1,51dc4905
Gelderland,Quality & Safety,<3 year,35-45,NL,1,6fdc77e6
Overijssel,Supply Chain,3-10 year,45-55,NL,1,d82aac6c
Friesland,Operations,3-10 year,25-35,NL,1,d93cd8f7
Flevoland,Strategy & Innovation,>20 year,45-55,NL,1,0167cbd5
Overijssel,HR,<3 year,25-35,NL,1,08713e1d
Noord-Holland,Marketing,10-20 year,<25,NL,1,3f22a8d2
Flevoland,Data & Analytics,>20 year,<25,NL,1,65b29b6c
Flevoland,ICT,>20 year,25-35,NL,1,80cdd7cc
Flevoland,HR,10-20 year,55+,NL,1,2951f748
Gelderland,Data & Analytics,3-10 year,25-35,NL,1,6f8e1743
Noord-Holland,Research & Development,3-10 year,35-45,NL,1,92c000a2
Flevoland,Quality & Safety,<3 year,55+,NL,1,6907ecb3
Utrecht,Klantenservice,>20 year,35-45,NL,1,020d9b8a
Overijssel,Quality & Safety,3-10 year,35-45,NL,1,091b3482
Utrecht,Quality & Safety,<3 year,55+,NL,1,82e15625
Zeeland,ICT,10-20 year,25-35,NL,1,7788ef18
Overijssel,ICT,3-10 year,<25,NL,1,f47dc329
Drenthe,Research & Development,<3 year,35-45,NL,1,e3ab725f
Zuid-Holland,Procurement,<3 year,<25,NL,1,25ba1f11
Utrecht,Procurement,3-10 year,<25,NL,1,924da106
Zuid-Holland,Sales,<3 year,35-45,NL,1,103936a1
Zuid-Holland,Sustainability,<3 year,<25,NL,1,9b7fb911
Zuid-Holland,Sales,>20 year,<25,NL,1,5e3c2b83
Zuid-Holland,Procurement,10-20 year,<25,NL,1,580e88cc
Noord-Holland,Operations,>20 year,35-45,NL,1,edd94e76
Zuid-Holland,HR,>20 year,55+,NL,1,de4fafcc
Noord-Holland,Operations,10-20 year,35-45,NL,1,e6863a63
Noord-Holland,Data & Analytics,<3 year,55+,NL,1,1417f727
Drenthe,Communication,10-20 year,45-55,NL,1,ef418fdc
Zuid-Holland,Data & Analytics,<3 year,35-45,NL,1,9f871bb4
Gelderland,Procurement,3-10 year,55+,NL,1,8c5095f8
Zeeland,Data & Analytics,<3 year,35-45,NL,1,7c8c0d1d
Limburg,Sustainability,<3 year,<25,NL,1,627c7ba8
Overijssel,Marketing,<3 year,25-35,NL,1,2b676b84
Gelderland,Procurement,10-20 year,25-35,NL,1,13413867
Friesland,Quality & Safety,10-20 year,35-45,NL,1,bc83da75
Overijssel,Procurement,10-20 year,25-35,NL,1,5ff613de
Friesland,Procurement,<3 year,<25,NL,1,c64e5e88
Limburg,Strategy & Innovation,>20 year,<25,NL,1,75a20592
Zeeland,Sustainability,<3 year,55+,NL,1,c193668d
Flevoland,Research & Development,3-10 year,45-55,NL,1,d03eab90
Noord-Holland,Quality & Safety,10-20 year,25-35,NL,1,c323ac66
Flevoland,Research & Development,>20 year,<25,NL,1,4e475f9c
Friesland,Maintenance & Management,10-20 year,25-35,NL,1,055005db
Limburg,HR,<3 year,25-35,NL,1,9c51a506
Flevoland,Communication,10-20 year,35-45,NL,1,6e868281
Utrecht,Maintenance & Management,<3 year,25-35,NL,1,7518abbb
Gelderland,Maintenance & Management,>20 year,35-45,NL,1,71086833
Overijssel,Sustainability,>20 year,45-55,NL,1,ecff9157
Utrecht,Strategy & Innovation,3-10 year,25-35,NL,1,8adacf88
Flevoland,Strategy & Innovation,3-10 year,55+,NL,1,960b2e21
Overijssel,Supply Chain,<3 year,55+,NL,1,e13e8c83
Drenthe,HR,3-10 year,55+,NL,1,243b15c3
Overijssel,Projectmanagement,>20 year,35-45,NL,1,9cf00e5b
Noord-Holland,Sustainability,3-10 year,45-55,NL,1,9647a492
Gelderland,Finance,3-10 year,55+,NL,1,1efd0254
Overijssel,ICT,3-10 year,45-55,NL,1,142a5360
Zeeland,HR,10-20 year,<25,NL,1,0729304a
Drenthe,Data & Analytics,>20 year,<25,NL,1,84e33eca
Flevoland,Sustainability,<3 year,35-45,NL,1,4dae5f69
Zuid-Holland,Strategy & Innovation,>20 year,25-35,NL,1,648e758d
Friesland,Projectmanagement,3-10 year,55+,NL,1,0c282e2b
Flevoland,Communication,>20 year,35-45,NL,1,13b3d274
Limburg,Marketing,>20 year,55+,NL,1,41394c40
Zuid-Holland,Quality & Safety,3-10 year,25-35,NL,1,b10eb729
Gelderland,Sales,>20 year,45-55,NL,1,d2a91892
Overijssel,Sales,10-20 year,25-35,NL,1,ba8f7a62
Zeeland,Marketing,<3 year,55+,NL,1,eaabc597
Friesland,Operations,10-20 year,35-45,NL,1,310374c9
Zuid-Holland,Research & Development,>20 year,45-55,NL,1,701a27d0
Drenthe,Klantenservice,10-20 year,25-35,NL,1,d80eb76b
Drenthe,Procurement,>20 year,25-35,NL,1,6d1f480e
Noord-Holland,Finance,10-20 year,35-45,NL,1,24410cef
Noord-Holland,ICT,10-20 year,35-45,NL,1,dfa4b04d
Limburg,Maintenance & Management,>20 year,45-55,NL,1,b1d78794
Friesland,ICT,10-20 year,35-45,NL,1,a01b4d84
Gelderland,Sales,3-10 year,35-45,NL,1,5cafe43d
Drenthe,HR,3-10 year,45-55,NL,1,7d24864b
Utrecht,HR,>20 year,25-35,NL,1,b2ac4c6c
Utrecht,Data & Analytics,3-10 year,25-35,NL,1,9a397591
Friesland,HR,10-20 year,55+,NL,1,74e19a61
Zuid-Holland,Maintenance & Management,10-20 year,25-35,NL,1,9a9317db
Zuid-Holland,HR,10-20 year,25-35,NL,1,576a43fc
Noord-Holland,Sustainability,10-20 year,25-35,NL,1,6e1432cd
Utrecht,Research & Development,>20 year,<25,NL,1,fa7de3cb
Zeeland,Finance,<3 year,35-45,NL,1,e811f6c8
Flevoland,Research & Development,10-20 year,25-35,NL,1,222f916d
Limburg,Procurement,<3 year,45-55,NL,1,eecbbe3e
Limburg,Sustainability,<3 year,25-35,NL,1,c143bda8
Overijssel,Quality & Safety,<3 year,25-35,NL,1,06be1b3e
Utrecht,HR,>20 year,35-45,NL,1,2d02ab65
Noord-Holland,Procurement,>20 year,25-35,NL,1,e7651c2c
Friesland,Research & Development,>20 year,45-55,NL,1,a780c07f
Flevoland,Sales,10-20 year,35-45,NL,1,2c645337
Drenthe,ICT,>20 year,25-35,NL,1,475f4030
Noord-Holland,Supply Chain,>20 year,35-45,NL,1,f9ad3156
Gelderland,Sales,<3 year,45-55,NL,1,49698af2
Limburg,Research & Development,10-20 year,35-45,NL,1,e2e21209
Limburg,Projectmanagement,10-20 year,55+,NL,1,b7ca38de
Flevoland,Operations,>20 year,35-45,NL,1,b3a4c8b3
Limburg,Maintenance & Management,10-20 year,55+,NL,1,10382943
Friesland,Data & Analytics,3-10 year,25-35,NL,1,030b2669
Limburg,Klantenservice,3-10 year,<25,NL,1,5eb014ef
Gelderland,Marketing,>20 year,55+,NL,1,b3fc7ee1
Limburg,Procurement,10-20 year,<25,NL,1,9c3fdda8
Overijssel,Sales,10-20 year,55+,NL,1,b09b3389
Zeeland,Klantenservice,3-10 year,25-35,NL,1,6253c4eb
Zuid-Holland,HR,10-20 year,55+,NL,1,a5c77096
Drenthe,Projectmanagement,10-20 year,<25,NL,1,6601da99
Utrecht,Maintenance & Management,3-10 year,55+,NL,1,742f3c40
Flevoland,Research & Development,<3 year,55+,NL,1,cc31a248
Gelderland,Research & Development,>20 year,<25,NL,1,2e32953d
Drenthe,HR,10-20 year,25-35,NL,1,e8fc0ed6
Overijssel,Finance,10-20 year,45-55,NL,1,7c11293e
Limburg,Procurement,>20 year,<25,NL,1,d9a99164
Overijssel,Research & Development,3-10 year,55+,NL,1,053274c4
Utrecht,Operations,10-20 year,<25,NL,1,f47c815c
Drenthe,Communication,<3 year,35-45,NL,1,fe8b1133
Friesland,Data & Analytics,<3 year,<25,NL,1,837dcd06
Noord-Holland,Projectmanagement,3-10 year,35-45,NL,1,50b3117a
Friesland,ICT,>20 year,25-35,NL,1,223ca893
Friesland,Maintenance & Management,>20 year,35-45,NL,1,5f1d8085
Zeeland,Procurement,10-20 year,<25,NL,1,2cfd7318
Drenthe,Finance,3-10 year,45-55,NL,1,899b1bad
Gelderland,Sustainability,10-20 year,<25,NL,1,16c89e52
Utrecht,Operations,>20 year,45-55,NL,1,3075d8a8
Noord-Holland,Data & Analytics,<3 year,<25,NL,1,f5d1c587
Gelderland,Finance,<3 year,35-45,NL,1,9b09f0fc
Noord-Holland,Strategy & Innovation,>20 year,55+,NL,1,e73b990a
Friesland,ICT,3-10 year,45-55,NL,1,fb1e6221
Gelderland,HR,3-10 year,35-45,NL,1,0008daca
Friesland,Data & Analytics,10-20 year,55+,NL,1,789bcf6c
Limburg,Supply Chain,<3 year,55+,NL,1,872d5fe5
Overijssel,Finance,3-10 year,55+,NL,1,9fe51233
Overijssel,Supply Chain,>20 year,55+,NL,1,c5471414
Noord-Holland,ICT,<3 year,35-45,NL,1,0a2676c2
Drenthe,Finance,10-20 year,55+,NL,1,c1755ea5
Friesland,ICT,10-20 year,45-55,NL,1,9b4ebadd
Zeeland,Sales,10-20 year,45-55,NL,1,367cff4c
Utrecht,Supply Chain,10-20 year,25-35,NL,1,01e41306
Utrecht,Quality & Safety,>20 year,55+,NL,1,5fe50302
Limburg,Projectmanagement,10-20 year,35-45,NL,1,927fd1d6
Friesland,Research & Development,>20 year,35-45,NL,1,3dbed08f
Noord-Holland,ICT,<3 year,25-35,NL,1,dabc0987
Gelderland,HR,3-10 year,55+,NL,1,79d6b7c7
Limburg,Communication,>20 year,55+,NL,1,265653d4
Flevoland,Procurement,<3 year,<25,NL,1,6869514
Zuid-Holland,Quality & Safety,>20 year,45-55,NL,1,6d4cf005
Zuid-Holland,Data & Analytics,10-20 year,25-35,NL,1,466c2a8b
Friesland,Klantenservice,10-20 year,55+,NL,1,38e2f31d
Noord-Holland,Procurement,10-20 year,45-55,NL,1,3c718acb
Zeeland,HR,>20 year,<25,NL,1,b4ad3919
Zeeland,Marketing,3-10 year,45-55,NL,1,b3e02279
Overijssel,Operations,>20 year,55+,NL,1,4cf9922a
Friesland,Quality & Safety,3-10 year,35-45,NL,1,0733a6e7
Flevoland,ICT,3-10 year,<25,NL,1,c495eec0
Overijssel,Supply Chain,>20 year,45-55,NL,1,8ba8d151
Flevoland,Quality & Safety,10-20 year,45-55,NL,1,08b0759c
Zuid-Holland,Procurement,<3 year,45-55,NL,1,4123a65d
Friesland,Marketing,<3 year,45-55,NL,1,fc4971c2
Overijssel,ICT,10-20 year,45-55,NL,1,1169d098
Flevoland,Operations,>20 year,45-55,NL,1,f9e9e735
Overijssel,HR,3-10 year,45-55,NL,1,4f700793
Limburg,Maintenance & Management,<3 year,<25,NL,1,51f14d70
Friesland,Procurement,3-10 year,25-35,NL,1,6e14a4b3
Zuid-Holland,Finance,3-10 year,35-45,NL,1,ffb96d33
Utrecht,Communication,<3 year,55+,NL,1,6888643
Gelderland,Sustainability,3-10 year,35-45,NL,1,a739e1f8
Overijssel,Maintenance & Management,>20 year,45-55,NL,1,5571e9de
Flevoland,Finance,10-20 year,<25,NL,1,16516561
Overijssel,Strategy & Innovation,>20 year,55+,NL,1,dd2e2950
Zuid-Holland,Data & Analytics,<3 year,55+,NL,1,efbf2427
Zuid-Holland,Projectmanagement,3-10 year,55+,NL,1,56c495fa
Noord-Holland,Klantenservice,3-10 year,55+,NL,1,2248251
Drenthe,Finance,<3 year,55+,NL,1,c71cf823
Friesland,Projectmanagement,3-10 year,<25,NL,1,a6b82367
Zuid-Holland,Marketing,3-10 year,45-55,NL,1,7168cbf6
Flevoland,Data & Analytics,>20 year,45-55,NL,1,8167dcf7
Overijssel,Klantenservice,3-10 year,55+,NL,1,150971da
Friesland,Marketing,<3 year,55+,NL,1,c5cc9a5b
Gelderland,Procurement,10-20 year,55+,NL,1,806d1319
Zuid-Holland,Klantenservice,<3 year,45-55,NL,1,9a9d2ca1
Utrecht,Communication,<3 year,<25,NL,1,ed3c2497
Utrecht,Strategy & Innovation,>20 year,35-45,NL,1,60329c0d
Drenthe,Marketing,>20 year,55+,NL,1,693dd0b7
Zeeland,Data & Analytics,10-20 year,35-45,NL,1,f7c1e821
Drenthe,Research & Development,<3 year,45-55,NL,1,c10823d8
Zuid-Holland,Procurement,3-10 year,55+,NL,1,a6f399fd
Zuid-Holland,Marketing,3-10 year,<25,NL,1,7473d3ad
Zuid-Holland,HR,>20 year,25-35,NL,1,29705399
Utrecht,Strategy & Innovation,3-10 year,<25,NL,1,4541d1e4
Overijssel,Sustainability,3-10 year,45-55,NL,1,0428a2da
Utrecht,Operations,3-10 year,45-55,NL,1,07e878d9
Utrecht,ICT,<3 year,<25,NL,1,c8ed950e
Zeeland,Finance,10-20 year,45-55,NL,1,8f627b4b
Gelderland,Maintenance & Management,10-20 year,35-45,NL,1,2ae4739b
Drenthe,HR,3-10 year,<25,NL,1,b7be37a3
Zuid-Holland,Operations,>20 year,<25,NL,1,ac1de86c
Zuid-Holland,Sustainability,>20 year,45-55,NL,1,e2fdd9a6
Zeeland,Finance,<3 year,<25,NL,1,8064f6bd
Flevoland,HR,>20 year,25-35,NL,1,31d057b5
Noord-Holland,Finance,10-20 year,25-35,NL,1,fc89634a
Overijssel,Maintenance & Management,3-10 year,<25,NL,1,fb206ff4
Friesland,Communication,3-10 year,35-45,NL,1,3d47caec
Zeeland,Strategy & Innovation,3-10 year,55+,NL,1,03159a2c
Zuid-Holland,ICT,3-10 year,45-55,NL,1,c34c1104
Limburg,Operations,>20 year,<25,NL,1,68a96fac
Limburg,Finance,3-10 year,<25,NL,1,b595145e
Zuid-Holland,Communication,>20 year,<25,NL,1,1b70e284
Overijssel,Finance,3-10 year,35-45,NL,1,45b6ccaa
Utrecht,Sustainability,10-20 year,35-45,NL,1,6fb82baf
Noord-Holland,Projectmanagement,>20 year,35-45,NL,1,0cdeb5e8
Noord-Holland,Operations,3-10 year,45-55,NL,1,191f78af
Zuid-Holland,Communication,>20 year,45-55,NL,1,3fa3dca9
Gelderland,Research & Development,10-20 year,25-35,NL,1,25cabe4b
Zeeland,Communication,3-10 year,45-55,NL,1,e520617f
Zuid-Holland,Procurement,10-20 year,35-45,NL,1,00240f72
Zeeland,Operations,>20 year,35-45,NL,1,90b40ab1
Friesland,Operations,3-10 year,55+,NL,1,a945a521
Gelderland,Strategy & Innovation,3-10 year,25-35,NL,1,5017442
Drenthe,Projectmanagement,3-10 year,45-55,NL,1,e4ebe6d1
Friesland,ICT,3-10 year,<25,NL,1,48ccc01e
Limburg,Communication,>20 year,45-55,NL,1,a9d4db98
Overijssel,Research & Development,>20 year,55+,NL,1,7a40a55a
Drenthe,ICT,<3 year,25-35,NL,1,95fad0f2
Limburg,Research & Development,10-20 year,55+,NL,1,4161b4d6
Zuid-Holland,Sales,3-10 year,<25,NL,1,cffbea91
Friesland,ICT,10-20 year,25-35,NL,1,f70f2a28
Zeeland,Projectmanagement,>20 year,25-35,NL,1,a616328e
Limburg,Data & Analytics,>20 year,35-45,NL,1,11b68e1c
Zuid-Holland,Sales,3-10 year,35-45,NL,1,957f85f5
Utrecht,Projectmanagement,<3 year,55+,NL,1,d64d84bb
Flevoland,Projectmanagement,10-20 year,35-45,NL,1,b3a93359
Gelderland,Sales,3-10 year,25-35,NL,1,e5820ff8
Utrecht,ICT,<3 year,35-45,NL,1,273d4f8c
Friesland,Finance,>20 year,45-55,NL,1,5973c1a0
Gelderland,Research & Development,3-10 year,35-45,NL,1,de070441
Utrecht,HR,>20 year,45-55,NL,1,13edd5bc
Limburg,Finance,3-10 year,35-45,NL,1,376175f8
Overijssel,Strategy & Innovation,3-10 year,35-45,NL,1,9f1988e3
Overijssel,Supply Chain,10-20 year,55+,NL,1,eaff4f21
Overijssel,Sustainability,<3 year,55+,NL,1,b2e722ee
Limburg,Supply Chain,<3 year,25-35,NL,1,a16e6a28
Gelderland,Maintenance & Management,3-10 year,35-45,NL,1,b8b50abc
Gelderland,Procurement,<3 year,35-45,NL,1,cfd14e09
